"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WESD"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-20","0.00","0.0",,"35","22","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-21","0.00","0.0",,"30","20","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-22","0.00","0.0",,"33","25","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-23","0.00","0.0",,"47","32","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-24","0.00","0.0",,"51","35","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-25","0.21","0.0",,"45","30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-26","0.77","0.0",,"47","33","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-27","0.01","0.1",,"41","29","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-28","0.00","0.0",,"42","27","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-29","0.24","0.0",,"51","39","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-30","0.00","0.0",,"47","28","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-31","0.05","0.1",,"34","23","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-01","0.07","1.0",,"34","22","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-02","0.09","0.0",,"38","27","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-03","0.26","0.0",,"39","28","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-04","0.00","0.0",,"32","26","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2006-01-05","0.21","0.3",,"39","29","0.0"
